DATE,DAP,GP,RMAINT,Mean Day Temp,Te,TeSum,TotDM,DMRoot,DMLeaf,LeafArea,DMStem,TotDMLeaf,TotDMStem,TotDMRoot,TotDmShoot,TotLeafArea,LAICov,LAI,NLeaf,NStem,NperLeaf,NperStem,TotNperLeaf,TotNperStem,TotRootDepth1,RCil,Transpiration,Evaporation,CumTranspiration,CumEvaporation,TotNperShoot,ShaftDi,ShaftLe
176,1,0.29733,0.035209,21.753,19.753,19.753,0.18348,0.01515,0.14308,0.0010731,0.02525,0.14308,0.02525,0.01515,0.16833,0.015773,7.1688,0.28676,4.41,3.03,0.0063099,0.00076507,0.0063099,0.00076507,6.4125,8.0534,4.9239,8.0252,4.9239,8.0252,0.007075,9.5683,7.9133
177,2,0.3014,0.0025739,21.869,19.869,39.623,0.20918,0.017272,0.16282,0.0012212,0.029082,0.30591,0.054332,0.032421,0.36024,0.016994,7.2101,0.30896,4.4013,3.0263,0.0071664,0.00088012,0.013476,0.0016452,6.8273,11.455,3.977,7.1381,8.9009,15.163,0.015121,9.6933,7.9824
178,3,0.32458,0.0028226,20.781,18.781,58.404,0.22523,0.018597,0.17502,0.0013126,0.031615,0.48092,0.085947,0.051018,0.56687,0.018307,7.3076,0.33282,4.3931,3.0229,0.0076887,0.00095568,0.021165,0.0026009,7.2195,14.37,3.7661,6.7986,12.667,21.962,0.023766,9.813,8.0483
179,4,0.28811,0.0030691,21.107,19.107,77.511,0.19953,0.016475,0.15477,0.0011608,0.028279,0.6357,0.11423,0.067493,0.74992,0.019468,7.3299,0.35392,4.3848,3.0194,0.0067865,0.00085383,0.027952,0.0034547,7.6184,15.108,2.7431,4.913,15.41,26.875,0.031406,9.9363,8.1158
180,5,0.37489,0.0027613,21.393,19.393,96.903,0.26049,0.021508,0.2017,0.0015128,0.037279,0.8374,0.1515,0.089001,0.98891,0.020981,7.4692,0.38143,4.3763,3.0158,0.0088272,0.0011242,0.036779,0.0045789,8.0233,17.349,4.1074,7.2631,19.518,34.138,0.041358,10.063,8.185
181,6,0.41881,0.0037414,22.531,20.531,117.43,0.29055,0.02399,0.22455,0.0016841,0.042005,1.062,0.19351,0.11299,1.2555,0.022665,7.6289,0.41204,4.3673,3.012,0.009807,0.0012652,0.046586,0.0058441,8.452,19.548,4.5564,7.9225,24.074,42.061,0.05243,10.199,8.2588
182,7,0.43186,0.0041108,22.145,20.145,137.58,0.29942,0.024723,0.23098,0.0017324,0.043718,1.2929,0.23723,0.13771,1.5302,0.024397,7.795,0.44354,4.3586,3.0083,0.010068,0.0013151,0.056653,0.0071593,8.8726,19.963,4.1869,7.2696,28.261,49.33,0.063813,10.334,8.3319
183,8,0.41813,0.0046185,24.696,22.696,160.27,0.28946,0.0239,0.22283,0.0016712,0.04273,1.5158,0.27996,0.16161,1.7957,0.026068,7.8782,0.47392,4.3486,3.0041,0.0096899,0.0012836,0.066343,0.0084429,9.3465,21.626,4.0958,6.9145,32.357,56.245,0.074786,10.489,8.4151
184,9,0.46513,0.0040687,22.174,20.174,180.45,0.32274,0.026649,0.24799,0.0018599,0.048108,1.7637,0.32806,0.18826,2.0918,0.027928,8.0529,0.50773,4.3398,3.0004,0.010762,0.0014434,0.077105,0.0098863,9.7678,23.769,3.5063,6.0205,35.863,62.265,0.086992,10.628,8.4897
185,10,0.54128,0.0044143,21.199,19.199,199.65,0.3758,0.03103,0.28824,0.0021618,0.056531,2.052,0.38459,0.21929,2.4366,0.03009,8.3132,0.54704,4.3315,2.9968,0.012485,0.0016941,0.089591,0.01158,10.169,25.653,4.3078,7.3504,40.171,69.616,0.10117,10.762,8.5613
186,11,0.49863,0.0050507,20.715,18.715,218.36,0.34551,0.028528,0.26454,0.0019841,0.052433,2.3165,0.43703,0.24782,2.7536,0.032074,8.514,0.58311,4.3233,2.9934,0.011437,0.0015695,0.10103,0.01315,10.559,25.138,3.0509,5.1429,43.222,74.758,0.11418,10.894,8.6316
187,12,0.55558,0.0043344,18.83,16.83,235.19,0.38587,0.031861,0.29499,0.0022124,0.059022,2.6115,0.49605,0.27968,3.1076,0.034286,8.7914,0.62333,4.3159,2.9903,0.012732,0.0017649,0.11376,0.014915,10.911,26.705,3.1211,5.3487,46.343,80.107,0.12867,11.015,8.6954
188,13,0.56903,0.0045109,16.803,14.803,250,0.39516,0.032628,0.30168,0.0022626,0.06086,2.9132,0.55691,0.31231,3.4701,0.036549,9.0991,0.66446,4.3095,2.9876,0.013001,0.0018182,0.12676,0.016733,11.22,28.22,2.7475,4.77,49.09,84.877,0.14349,11.122,8.7519
189,14,0.38631,0.0043819,15.278,13.278,263.27,0.26735,0.022075,0.20385,0.0015289,0.041428,3.1171,0.59834,0.33439,3.7154,0.038078,9.2388,0.69226,4.3037,2.9851,0.008773,0.0012367,0.13553,0.01797,11.497,29.2,1.2457,2.1857,50.336,87.063,0.1535,11.219,8.8029
