Locatie	jaar	aantal jaren
klimaat	1959	_full
klimaat	1960	_full
klimaat	1961	_full
klimaat	1962	_full
klimaat	1963	_full
klimaat	1964	_full
klimaat	1965	_full
klimaat	1966	_full
klimaat	1967	_full
klimaat	1968	_full
klimaat	1969	_full
klimaat	1970	_full
klimaat	1971	_full
klimaat	1972	_full
klimaat	1973	_full
klimaat	1974	_full
klimaat	1975	_full
klimaat	1976	_full
klimaat	1977	_full
klimaat	1978	_full
klimaat	1979	_full
klimaat	1980	_full
klimaat	1981	_full
klimaat	1982	_full
klimaat	1983	_full
klimaat	1984	_full
klimaat	1985	_full
klimaat	1986	_full
klimaat	1987	_full
klimaat	1988	_full
klimaat	1989	_full
klimaat	1990	_full
klimaat	1991	_full
klimaat	1992	_full
klimaat	1993	_full
klimaat	1994	_full
klimaat	1995	_full
klimaat	1996	_full
klimaat	1997	_full
klimaat	1998	_full
klimaat	1999	_full
klimaat	2000	_full
klimaat	2001	_full
